"Election","state_code","state_name","MP_Constituency","Constituency","MP_AC","State_AC","Polling_Station_No","Candidate_Name","Party_Name","No_of_Votes"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","50","RADHAKRISHNAN, C.P.","BJP","120"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","51","RADHAKRISHNAN, C.P.","BJP","153"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","52","RADHAKRISHNAN, C.P.","BJP","316"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","53","RADHAKRISHNAN, C.P.","BJP","264"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","54","RADHAKRISHNAN, C.P.","BJP","185"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","55","RADHAKRISHNAN, C.P.","BJP","111"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","56","RADHAKRISHNAN, C.P.","BJP","164"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","57","RADHAKRISHNAN, C.P.","BJP","198"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","58","RADHAKRISHNAN, C.P.","BJP","96"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","59","RADHAKRISHNAN, C.P.","BJP","140"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","60","RADHAKRISHNAN, C.P.","BJP","72"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","61","RADHAKRISHNAN, C.P.","BJP","88"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","62","RADHAKRISHNAN, C.P.","BJP","95"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","63","RADHAKRISHNAN, C.P.","BJP","81"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","64","RADHAKRISHNAN, C.P.","BJP","154"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","65","RADHAKRISHNAN, C.P.","BJP","104"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","66","RADHAKRISHNAN, C.P.","BJP","131"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","67","RADHAKRISHNAN, C.P.","BJP","114"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","68","RADHAKRISHNAN, C.P.","BJP","183"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","69","RADHAKRISHNAN, C.P.","BJP","163"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","70","RADHAKRISHNAN, C.P.","BJP","97"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","71","RADHAKRISHNAN, C.P.","BJP","294"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","72","RADHAKRISHNAN, C.P.","BJP","171"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","73","RADHAKRISHNAN, C.P.","BJP","170"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","74","RADHAKRISHNAN, C.P.","BJP","141"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","75","RADHAKRISHNAN, C.P.","BJP","149"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","76","RADHAKRISHNAN, C.P.","BJP","127"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","77","RADHAKRISHNAN, C.P.","BJP","261"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","78","RADHAKRISHNAN, C.P.","BJP","206"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","79","RADHAKRISHNAN, C.P.","BJP","129"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","80","RADHAKRISHNAN, C.P.","BJP","119"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","81","RADHAKRISHNAN, C.P.","BJP","119"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","82","RADHAKRISHNAN, C.P.","BJP","216"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","83","RADHAKRISHNAN, C.P.","BJP","219"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","84","RADHAKRISHNAN, C.P.","BJP","104"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","85","RADHAKRISHNAN, C.P.","BJP","173"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","86","RADHAKRISHNAN, C.P.","BJP","174"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","87","RADHAKRISHNAN, C.P.","BJP","130"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","88","RADHAKRISHNAN, C.P.","BJP","179"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","89","RADHAKRISHNAN, C.P.","BJP","215"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","90","RADHAKRISHNAN, C.P.","BJP","137"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","91","RADHAKRISHNAN, C.P.","BJP","128"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","92","RADHAKRISHNAN, C.P.","BJP","140"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","93","RADHAKRISHNAN, C.P.","BJP","41"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","94","RADHAKRISHNAN, C.P.","BJP","244"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","95","RADHAKRISHNAN, C.P.","BJP","186"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","96","RADHAKRISHNAN, C.P.","BJP","155"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","97","RADHAKRISHNAN, C.P.","BJP","205"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","98","RADHAKRISHNAN, C.P.","BJP","165"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","99","RADHAKRISHNAN, C.P.","BJP","103"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","100","RADHAKRISHNAN, C.P.","BJP","134"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","101","RADHAKRISHNAN, C.P.","BJP","177"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","102","RADHAKRISHNAN, C.P.","BJP","203"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","103","RADHAKRISHNAN, C.P.","BJP","225"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","104","RADHAKRISHNAN, C.P.","BJP","250"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","105","RADHAKRISHNAN, C.P.","BJP","251"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","106","RADHAKRISHNAN, C.P.","BJP","186"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","107","RADHAKRISHNAN, C.P.","BJP","265"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","108","RADHAKRISHNAN, C.P.","BJP","108"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","109","RADHAKRISHNAN, C.P.","BJP","202"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","110","RADHAKRISHNAN, C.P.","BJP","161"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","111","RADHAKRISHNAN, C.P.","BJP","150"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","112","RADHAKRISHNAN, C.P.","BJP","173"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","113 A","RADHAKRISHNAN, C.P.","BJP","183"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","113 B","RADHAKRISHNAN, C.P.","BJP","195"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","114","RADHAKRISHNAN, C.P.","BJP","362"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","115","RADHAKRISHNAN, C.P.","BJP","216"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","116","RADHAKRISHNAN, C.P.","BJP","209"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","117","RADHAKRISHNAN, C.P.","BJP","320"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","118","RADHAKRISHNAN, C.P.","BJP","169"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","119","RADHAKRISHNAN, C.P.","BJP","147"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","120","RADHAKRISHNAN, C.P.","BJP","60"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","121","RADHAKRISHNAN, C.P.","BJP","83"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","122","RADHAKRISHNAN, C.P.","BJP","72"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","123","RADHAKRISHNAN, C.P.","BJP","274"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","124","RADHAKRISHNAN, C.P.","BJP","114"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","125","RADHAKRISHNAN, C.P.","BJP","155"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","126","RADHAKRISHNAN, C.P.","BJP","218"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","127","RADHAKRISHNAN, C.P.","BJP","273"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","128","RADHAKRISHNAN, C.P.","BJP","278"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","129","RADHAKRISHNAN, C.P.","BJP","174"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","130","RADHAKRISHNAN, C.P.","BJP","351"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","131","RADHAKRISHNAN, C.P.","BJP","178"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","132","RADHAKRISHNAN, C.P.","BJP","298"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","133","RADHAKRISHNAN, C.P.","BJP","142"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","134","RADHAKRISHNAN, C.P.","BJP","230"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","135","RADHAKRISHNAN, C.P.","BJP","294"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","136","RADHAKRISHNAN, C.P.","BJP","233"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","137","RADHAKRISHNAN, C.P.","BJP","300"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","138","RADHAKRISHNAN, C.P.","BJP","84"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","139","RADHAKRISHNAN, C.P.","BJP","237"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","140","RADHAKRISHNAN, C.P.","BJP","140"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","141","RADHAKRISHNAN, C.P.","BJP","177"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","142","RADHAKRISHNAN, C.P.","BJP","235"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","143","RADHAKRISHNAN, C.P.","BJP","198"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","144","RADHAKRISHNAN, C.P.","BJP","294"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","145","RADHAKRISHNAN, C.P.","BJP","135"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","146","RADHAKRISHNAN, C.P.","BJP","219"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","147","RADHAKRISHNAN, C.P.","BJP","202"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","148","RADHAKRISHNAN, C.P.","BJP","184"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","149","RADHAKRISHNAN, C.P.","BJP","159"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","150","RADHAKRISHNAN, C.P.","BJP","209"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","151","RADHAKRISHNAN, C.P.","BJP","261"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","152","RADHAKRISHNAN, C.P.","BJP","106"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","153","RADHAKRISHNAN, C.P.","BJP","133"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","154","RADHAKRISHNAN, C.P.","BJP","282"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","155","RADHAKRISHNAN, C.P.","BJP","182"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","156","RADHAKRISHNAN, C.P.","BJP","196"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","157","RADHAKRISHNAN, C.P.","BJP","139"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","158","RADHAKRISHNAN, C.P.","BJP","131"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","159","RADHAKRISHNAN, C.P.","BJP","270"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","160","RADHAKRISHNAN, C.P.","BJP","245"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","161","RADHAKRISHNAN, C.P.","BJP","253"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","162","RADHAKRISHNAN, C.P.","BJP","294"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","163","RADHAKRISHNAN, C.P.","BJP","124"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","164","RADHAKRISHNAN, C.P.","BJP","181"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","165","RADHAKRISHNAN, C.P.","BJP","72"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","166","RADHAKRISHNAN, C.P.","BJP","203"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","167","RADHAKRISHNAN, C.P.","BJP","286"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","168","RADHAKRISHNAN, C.P.","BJP","39"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","169","RADHAKRISHNAN, C.P.","BJP","216"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","170","RADHAKRISHNAN, C.P.","BJP","276"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","171","RADHAKRISHNAN, C.P.","BJP","179"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","172","RADHAKRISHNAN, C.P.","BJP","206"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","173","RADHAKRISHNAN, C.P.","BJP","127"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","174","RADHAKRISHNAN, C.P.","BJP","148"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","175","RADHAKRISHNAN, C.P.","BJP","301"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","176","RADHAKRISHNAN, C.P.","BJP","280"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","177","RADHAKRISHNAN, C.P.","BJP","160"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","178","RADHAKRISHNAN, C.P.","BJP","294"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","179","RADHAKRISHNAN, C.P.","BJP","151"
"GE_MN_2019","TN","TAMILNADU","Coimbatore","Palladam","20","115","180","RADHAKRISHNAN, C.P.","BJP","169"
